Inches,Min Weight,Max Weight
56,78,175
57,81,180
58,84,185
59,87,190
60,90,196
61,93,202
62,96,208
63,99,214
64,102,220
65,105,226
66,108,232
67,111,238
68,114,244
69,118,250
70,122,256
71,126,262
72,130,269
73,134,276
74,138,283
75,143,290
76,148,297
77,153,304
78,158,311
