,2500,5000,7500,10000,12500,15000,17500,20000,22500,25000,30000,35000,40000,45000,50000,55000,60000,65000,70000,75000,80000,85000,90000,95000,100000
44,0.73,1.46,2.19,2.92,3.65,4.38,5.11,5.84,6.57,7.30,8.76,10.22,11.68,13.14,14.60,16.06,17.52,18.98,20.44,21.90,23.36,24.82,26.28,27.74,29.20
45,1.20,2.41,3.61,4.82,6.02,7.23,8.43,9.64,10.84,12.04,14.45,16.86,19.27,21.68,24.09,26.50,28.91,31.31,33.72,36.13,38.54,40.95,43.36,45.77,48.18
46,1.20,2.41,3.61,4.82,6.02,7.23,8.43,9.64,10.84,12.04,14.45,16.86,19.27,21.68,24.09,26.50,28.91,31.31,33.72,36.13,38.54,40.95,43.36,45.77,48.18
47,1.20,2.41,3.61,4.82,6.02,7.23,8.43,9.64,10.84,12.04,14.45,16.86,19.27,21.68,24.09,26.50,28.91,31.31,33.72,36.13,38.54,40.95,43.36,45.77,48.18
48,1.20,2.41,3.61,4.82,6.02,7.23,8.43,9.64,10.84,12.04,14.45,16.86,19.27,21.68,24.09,26.50,28.91,31.31,33.72,36.13,38.54,40.95,43.36,45.77,48.18
49,1.20,2.41,3.61,4.82,6.02,7.23,8.43,9.64,10.84,12.04,14.45,16.86,19.27,21.68,24.09,26.50,28.91,31.31,33.72,36.13,38.54,40.95,43.36,45.77,48.18
50,1.91,3.82,5.72,7.63,9.54,11.45,13.36,15.26,17.17,19.08,22.90,26.71,30.53,34.35,38.16,41.98,45.79,49.61,53.43,57.24,61.06,64.87,68.69,72.51,76.32
51,1.91,3.82,5.72,7.63,9.54,11.45,13.36,15.26,17.17,19.08,22.90,26.71,30.53,34.35,38.16,41.98,45.79,49.61,53.43,57.24,61.06,64.87,68.69,72.51,76.32
52,1.91,3.82,5.72,7.63,9.54,11.45,13.36,15.26,17.17,19.08,22.90,26.71,30.53,34.35,38.16,41.98,45.79,49.61,53.43,57.24,61.06,64.87,68.69,72.51,76.32
53,1.91,3.82,5.72,7.63,9.54,11.45,13.36,15.26,17.17,19.08,22.90,26.71,30.53,34.35,38.16,41.98,45.79,49.61,53.43,57.24,61.06,64.87,68.69,72.51,76.32
54,1.91,3.82,5.72,7.63,9.54,11.45,13.36,15.26,17.17,19.08,22.90,26.71,30.53,34.35,38.16,41.98,45.79,49.61,53.43,57.24,61.06,64.87,68.69,72.51,76.32
55,3.07,6.13,9.20,12.27,15.34,18.40,21.47,24.54,27.61,30.67,36.81,42.94,49.08,55.21,61.35,67.48,73.62,79.75,85.89,92.02,98.16,104.29,110.43,116.56,122.70
56,3.07,6.13,9.20,12.27,15.34,18.40,21.47,24.54,27.61,30.67,36.81,42.94,49.08,55.21,61.35,67.48,73.62,79.75,85.89,92.02,98.16,104.29,110.43,116.56,122.70
57,3.07,6.13,9.20,12.27,15.34,18.40,21.47,24.54,27.61,30.67,36.81,42.94,49.08,55.21,61.35,67.48,73.62,79.75,85.89,92.02,98.16,104.29,110.43,116.56,122.70
58,3.07,6.13,9.20,12.27,15.34,18.40,21.47,24.54,27.61,30.67,36.81,42.94,49.08,55.21,61.35,67.48,73.62,79.75,85.89,92.02,98.16,104.29,110.43,116.56,122.70
59,3.07,6.13,9.20,12.27,15.34,18.40,21.47,24.54,27.61,30.67,36.81,42.94,49.08,55.21,61.35,67.48,73.62,79.75,85.89,92.02,98.16,104.29,110.43,116.56,122.70
60,4.36,8.71,13.07,17.42,21.78,26.14,30.49,34.85,39.20,43.56,52.27,60.99,69.70,78.41,87.12,95.83,104.55,113.26,121.97,130.68,139.40,148.11,156.82,165.53,174.24
61,4.36,8.71,13.07,17.42,21.78,26.14,30.49,34.85,39.20,43.56,52.27,60.99,69.70,78.41,87.12,95.83,104.55,113.26,121.97,130.68,139.40,148.11,156.82,165.53,174.24
62,4.36,8.71,13.07,17.42,21.78,26.14,30.49,34.85,39.20,43.56,52.27,60.99,69.70,78.41,87.12,95.83,104.55,113.26,121.97,130.68,139.40,148.11,156.82,165.53,174.24
63,4.36,8.71,13.07,17.42,21.78,26.14,30.49,34.85,39.20,43.56,52.27,60.99,69.70,78.41,87.12,95.83,104.55,113.26,121.97,130.68,139.40,148.11,156.82,165.53,174.24
64,4.36,8.71,13.07,17.42,21.78,26.14,30.49,34.85,39.20,43.56,52.27,60.99,69.70,78.41,87.12,95.83,104.55,113.26,121.97,130.68,139.40,148.11,156.82,165.53,174.24
65,6.00,12.01,18.01,24.02,30.02,36.03,42.03,48.04,54.04,60.04,72.05,84.06,96.07,108.08,120.09,132.10,144.11,156.12,168.12,180.13,192.14,204.15,216.16,228.17,240.18
66,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,
