Inches,Min Weight,Max Weight
56,83,175
57,86,180
58,89,185
59,92,190
60,95,196
61,98,202
62,101,208
63,104,214
64,107,220
65,110,226
66,113,232
67,116,238
68,119,244
69,123,250
70,127,256
71,131,262
72,135,269
73,139,276
74,143,283
75,148,290
76,153,297
77,158,304
78,163,311
