inches,MinFem,MaxFem,MinMale,MaxMale
56,78,175,83,175
57,81,180,86,180
58,84,185,89,185
59,87,190,92,190
60,90,196,95,196
61,93,202,98,202
62,96,208,101,208
63,99,214,104,214
64,102,220,107,220
65,105,226,110,226
66,108,232,113,232
67,111,238,116,238
68,114,244,119,244
69,118,250,123,250
70,122,256,127,256
71,126,262,131,262
72,130,269,135,269
73,134,276,139,276
74,138,283,143,283
75,143,290,148,290
76,148,297,153,297
77,153,304,158,304
78,158,311,163,311
